Customer,Name,Current,1 To 31,31 To 61,61 To 92,Over 92,Balance
C006402,TAMASA TRADING 229 (PTY) LTD,4758.7,0.0,0.0,0.0,0.0,4758.7
C006449,BUSINESS DRIVEN NETWORK SERVICES (PTY) LTD T/A BDNS,4713.85,0.0,0.0,0.0,0.0,4713.85
C006665,MHA MANAGEMENT HOLDINGS (PTY) LTD,4713.85,0.0,0.0,0.0,0.0,4713.85
AGA001,Agattu Trading 174 (Pty) Ltd (Vault IT),0.0,0.0,0.0,0.0,4674.33,4674.33
INT001,Inteleqt Insights Pty Ltd (R),4656.47,0.0,0.0,0.0,0.0,4656.47
VUN001,Vunani Capital (Pty) Ltd,4656.47,0.0,0.0,0.0,0.0,4656.47
C006057,FTP TECHNOLOGIES,4656.35,0.0,0.0,0.0,0.0,4656.35
C004781,TIGGEE LLC T/A DNS MADE EASY / CONSTELLIX,4864.5,0.0,0.0,225.0,0.0,4639.5
C000821,Linux Tech (Pty) Ltd,4600.0,0.0,0.0,0.0,0.0,4600.0
C005753,MESHNET (PTY) LTD,4598.85,0.0,0.0,0.0,0.0,4598.85
C006537,FIAMME HOLDINGS (PTY) LTD,4598.85,0.0,0.0,0.0,0.0,4598.85
C000505,MMS Mobile Cranes cc,4483.85,0.0,0.0,0.0,0.0,4483.85
C001030,Power Plant Electrical Technologies (Pty) Ltd,4483.85,0.0,0.0,0.0,0.0,4483.85
C001034,VERMAAK MARSHALL WELLBELOVED INC,4483.85,0.0,0.0,0.0,0.0,4483.85
C004832,HYDRA-SPES C.C.,4483.85,0.0,0.0,0.0,0.0,4483.85
C005482,T.J MAODI INCOPORATED,4483.85,0.0,0.0,0.0,0.0,4483.85
C005568,ACT SOLUTIONS PRETORIA INC,4483.85,0.0,0.0,0.0,0.0,4483.85
C006191,ALKEBULAN LOGISTICS SOLUTIONS (PTY) LTD,4483.85,0.0,0.0,0.0,0.0,4483.85
THE002,The KZN Growth Fund Trust,4483.85,0.0,0.0,0.0,0.0,4483.85
C006183,BLOODHOUND HOLDINGS,4426.35,0.0,0.0,0.0,0.0,4426.35
C000950,Quincy de Jong t/a QSupport,4416.0,0.0,0.0,0.0,0.0,4416.0
C005009,ICE TECH TECHNOLOGIES (PTY) LTD,4414.67,0.0,0.0,0.0,0.0,4414.67
C000881,Milwick,4409.31,0.0,0.0,0.0,0.0,4409.31
C005896,VAIMO ECOMMERCE SERVICES (PTY) LTD,4370.0,0.0,0.0,0.0,0.0,4370.0
C006319,NDENDE TECHNOLOGIES (PTY) LTD,4370.0,0.0,0.0,0.0,0.0,4370.0
